,nconst,Action,Actualités,Animation,Aventure,Biographie,Comédie,Comédiemusicale,Crime,Documentaire,Drame,Famille,Fantastique,Guerre,Histoire,Horreur,Musique,Mystère,Romance,Science-Fiction,Sport,Thriller,Téléfilm,Western,nb_films_y,anneeSortie,nbVotes_x,nbVotes_y
0,nm0000008,5,0,0,3,0,5,0,6,0,18,0,1,3,2,1,0,3,6,0,0,7,0,3,23,1973.0,140635.0,14074.0
1,nm0000018,5,0,0,9,1,5,0,4,0,22,2,1,5,3,3,0,3,8,4,0,8,0,10,32,1972.0,11819.0,2547.0
2,nm0000032,14,0,0,11,3,1,0,2,0,28,2,0,8,10,0,1,3,6,3,0,9,0,5,29,1973.0,16281.0,1528.0
3,nm0000037,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,2,1970.0,24920.0,5956.0
4,nm0000044,7,0,0,6,1,5,0,6,0,26,0,1,5,3,1,0,1,4,1,0,8,0,7,30,1970.0,13132.0,1420.0
5,nm0000056,4,0,1,3,3,14,0,12,1,37,1,1,3,1,0,0,6,11,1,4,9,0,7,44,1977.0,50180.0,3310.0
6,nm0000069,4,0,0,6,0,9,3,7,1,9,0,0,3,1,0,3,4,4,0,0,7,0,3,19,1968.0,8646.0,2202.0
7,nm0000076,0,0,0,0,1,1,0,0,0,4,0,0,0,2,0,0,0,1,1,0,0,0,0,4,1974.0,65450.0,13385.0
8,nm0000078,9,0,0,11,1,6,0,2,0,24,0,0,6,3,0,0,0,7,0,0,1,0,20,29,1967.0,18572.0,16318.0
9,nm0000080,4,0,1,4,3,3,0,0,2,7,2,0,1,3,0,0,1,0,1,0,0,0,1,10,1972.0,10840.0,15748.0
10,nm0000086,1,0,0,8,0,36,1,14,0,2,1,3,1,1,0,1,0,2,3,0,1,0,0,36,1968.0,6331.0,5377.0
11,nm0000095,3,0,1,4,0,36,1,7,0,11,1,1,1,0,0,2,3,14,2,0,0,0,0,36,1986.0,47063.0,68084.0
12,nm0000101,6,0,0,5,1,28,0,4,0,8,5,6,2,0,3,2,1,3,7,1,1,0,0,33,1992.0,71000.0,28528.0
13,nm0000102,7,0,1,6,2,12,0,13,0,27,3,2,0,2,6,1,6,7,3,1,17,0,0,37,1999.0,80824.0,3452.0
14,nm0000104,25,0,6,20,4,26,1,16,0,34,9,8,0,5,2,5,10,14,3,1,23,0,2,60,2007.0,80383.0,4426.0
15,nm0000106,4,0,2,7,3,21,0,4,0,24,3,1,0,0,3,2,1,19,3,2,7,0,1,33,1999.0,73063.0,71212.0
16,nm0000110,1,0,1,2,4,7,1,7,0,23,1,1,2,5,2,1,7,10,1,0,8,0,0,25,2002.0,65720.0,119852.0
17,nm0000114,2,0,5,7,1,20,0,3,0,14,5,4,1,2,2,2,1,4,2,1,5,0,0,26,2005.0,154508.0,13800.0
18,nm0000123,7,0,1,6,2,17,0,16,0,23,2,0,4,2,2,0,5,8,5,0,15,0,0,36,2007.0,195775.0,90135.0
19,nm0000126,14,0,0,8,4,8,0,12,0,35,2,2,3,5,1,1,2,10,3,4,16,0,6,40,2001.0,94936.0,99911.0
20,nm0000128,19,0,0,7,6,4,1,13,0,31,1,3,3,6,2,0,6,9,1,0,17,0,2,39,2008.0,204904.0,46870.0
21,nm0000134,19,0,1,5,8,32,1,39,0,65,2,1,2,7,4,1,10,15,4,5,27,0,0,87,1999.0,189393.0,140078.0
22,nm0000136,14,0,4,16,11,19,2,8,0,34,8,16,0,6,6,1,7,15,2,0,12,0,4,55,2005.0,235018.0,11049.0
23,nm0000141,2,0,0,0,0,7,0,3,0,12,0,0,0,1,1,1,3,3,3,0,5,0,0,14,2005.0,36374.0,9999.0
24,nm0000142,21,0,0,12,1,11,1,20,0,36,0,0,4,0,0,2,6,6,1,2,19,0,12,48,1984.0,116472.0,144719.0
25,nm0000146,6,0,4,8,7,7,0,5,0,32,6,3,3,11,1,1,7,14,1,0,13,1,0,40,2006.0,159331.0,20600.0
26,nm0000149,6,0,0,4,2,9,0,10,1,29,6,2,1,3,2,1,6,6,3,2,13,0,1,32,1995.0,158910.0,48017.0
27,nm0000154,26,0,2,19,3,14,0,15,0,29,2,4,7,8,0,0,6,7,6,0,21,0,1,46,2000.0,125303.0,398842.0
28,nm0000158,7,0,7,16,8,36,0,8,0,41,11,8,2,10,1,2,10,16,5,1,11,0,1,61,2004.0,312885.0,73786.0
29,nm0000160,12,0,1,6,5,12,0,12,0,42,2,4,2,1,5,3,12,13,7,0,22,0,2,52,2007.0,121454.0,2504.0
30,nm0000163,7,0,5,8,2,20,0,10,0,33,7,4,0,1,1,1,4,10,2,0,11,0,1,42,1994.0,113227.0,21752.0
31,nm0000165,3,0,0,0,0,5,0,1,0,5,1,0,1,0,0,0,0,3,0,0,0,0,2,7,1974.0,20585.0,167113.0
32,nm0000166,3,0,0,3,2,9,0,4,0,16,1,1,0,0,1,0,2,8,2,1,5,0,0,19,2003.0,98685.0,7442.0
33,nm0000169,21,0,0,13,4,8,0,22,0,33,1,2,3,5,1,2,8,4,6,1,23,0,3,47,1999.0,112287.0,39664.0
34,nm0000185,29,0,1,9,0,2,0,11,0,10,1,2,1,1,3,0,1,0,7,0,23,0,0,30,2003.0,29688.0,3564.0
35,nm0000186,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2017.0,27156.0,161883.0
36,nm0000187,1,0,2,3,1,6,0,2,0,5,2,2,0,1,0,2,0,1,0,1,0,0,0,8,1995.0,43542.0,8268.0
37,nm0000191,11,0,3,15,3,15,1,12,0,38,5,11,3,6,2,6,7,14,8,0,16,0,1,51,2007.0,158695.0,18785.0
38,nm0000195,8,0,4,8,1,30,0,4,0,19,6,7,4,2,1,2,2,9,0,2,2,0,0,34,2000.0,145712.0,23019.0
39,nm0000197,3,0,0,5,1,16,0,13,0,33,0,7,0,1,4,1,3,11,2,0,13,0,4,42,1985.0,181068.0,8729.0
40,nm0000198,16,0,1,9,6,6,0,16,0,30,1,4,1,4,4,2,3,7,9,0,24,0,1,42,2005.0,183115.0,10516.0
41,nm0000199,7,0,0,2,6,9,0,26,0,41,2,1,2,6,2,1,11,8,1,2,20,0,0,44,1996.0,221546.0,5479.0
42,nm0000200,12,0,0,5,1,6,0,10,0,15,1,2,1,2,5,0,2,3,4,0,15,0,1,27,1998.0,121832.0,64599.0
43,nm0000202,7,0,0,2,3,4,0,8,0,19,0,4,2,3,2,1,5,1,3,0,13,0,0,24,2009.0,53009.0,3179.0
44,nm0000206,20,0,1,11,1,15,0,13,0,29,1,6,0,1,5,3,6,9,15,2,21,0,0,48,2004.0,201741.0,41581.0
45,nm0000209,7,0,0,5,2,14,0,8,0,21,1,2,1,2,1,1,5,6,4,1,9,0,0,27,1998.0,207113.0,43202.0
46,nm0000217,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1999.0,3608.0,315633.0
47,nm0000228,5,0,1,3,4,12,0,16,0,28,3,1,1,1,0,1,8,2,4,0,13,0,0,35,2002.0,224509.0,12244.0
48,nm0000230,31,0,2,12,1,8,0,17,0,22,2,1,5,0,1,0,1,2,4,11,22,0,0,44,1995.0,137943.0,221875.0
49,nm0000233,2,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,3,1997.0,124264.0,823026.0
50,nm0000241,35,0,0,8,1,4,0,17,0,17,0,0,1,1,1,0,2,2,8,1,25,0,0,35,2001.0,41033.0,28959.0
51,nm0000243,20,0,0,3,8,5,0,23,0,37,1,2,3,3,0,1,9,5,4,2,29,0,1,46,2003.0,162106.0,57056.0
52,nm0000255,18,0,0,11,3,12,0,12,0,26,0,9,1,3,0,0,7,13,7,2,16,0,0,44,2009.0,234272.0,323834.0
53,nm0000257,3,0,0,0,1,10,0,2,0,9,0,1,0,1,2,0,2,7,0,1,4,0,0,16,1992.0,56497.0,4328.0
54,nm0000272,0,0,0,1,3,23,3,4,1,39,1,2,0,4,1,4,2,19,0,0,3,1,0,48,2003.0,4411.0,188.0
55,nm0000273,6,0,1,5,2,17,0,7,0,17,3,0,3,1,0,0,3,6,2,1,9,0,0,31,1995.0,61929.0,3732.0
56,nm0000274,4,0,0,3,0,9,0,6,0,7,1,0,0,0,10,0,5,4,0,0,5,0,1,19,2003.0,75346.0,6510.0
57,nm0000275,5,0,0,2,0,7,0,5,0,11,0,0,1,0,1,0,1,5,1,1,6,0,1,15,1991.0,29623.0,1249.0
58,nm0000277,4,0,0,6,1,3,0,6,0,15,2,2,4,2,0,0,2,2,1,0,8,0,0,17,1971.0,88993.0,41298.0
59,nm0000285,13,0,4,10,2,24,1,12,1,32,5,7,0,3,0,2,6,19,4,1,14,0,0,47,2004.0,64304.0,6527.0
60,nm0000316,0,0,1,3,0,12,3,0,0,2,1,1,1,3,1,0,1,0,3,0,1,0,0,12,1984.0,73802.0,83051.0
61,nm0000332,9,0,0,3,3,5,0,10,0,18,1,1,2,4,1,1,3,1,5,0,12,0,0,24,2006.0,173021.0,10753.0
62,nm0000343,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1990.0,27494.0,83777.0
63,nm0000345,2,0,2,2,0,16,0,4,0,6,5,0,0,0,0,1,0,3,0,0,1,0,2,16,1998.0,137593.0,6336.0
64,nm0000352,12,0,0,2,4,11,0,15,0,25,0,0,1,3,2,0,4,5,4,1,12,0,1,32,2006.0,90567.0,9844.0
65,nm0000362,6,0,4,7,2,30,0,12,0,15,7,5,0,1,0,0,1,10,2,0,4,0,0,36,1998.0,58671.0,69534.0
66,nm0000365,1,0,0,0,1,10,0,1,0,20,1,2,0,1,1,1,3,8,4,0,2,0,0,23,2003.0,55350.0,9251.0
67,nm0000367,10,0,1,9,9,56,0,32,0,95,8,11,6,15,2,3,9,36,3,2,21,1,0,125,1997.0,7015.0,286.0
68,nm0000369,4,0,0,2,1,15,0,16,0,24,1,0,0,1,1,0,4,9,1,0,10,0,0,32,1999.0,42689.0,5945.0
69,nm0000380,9,0,0,9,1,8,0,12,0,43,3,1,2,2,0,2,4,11,4,4,13,0,7,47,1989.0,90859.0,9324.0
70,nm0000387,2,0,0,0,0,4,0,0,0,2,0,4,0,0,14,2,2,0,0,0,4,0,0,14,1995.0,63778.0,6283.0
71,nm0000389,12,0,0,3,0,12,0,10,0,12,3,0,0,0,1,0,0,2,3,0,1,0,2,19,1992.0,55315.0,23245.0
72,nm0000391,2,0,1,6,5,16,1,5,0,16,7,3,1,3,1,1,0,8,2,0,3,0,0,25,2002.0,25143.0,6043.0
73,nm0000408,4,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,4,0,0,4,1998.0,97416.0,76916.0
74,nm0000410,0,0,4,1,1,6,0,0,1,4,4,5,0,1,0,0,0,2,0,0,0,0,0,9,2013.0,8203.0,6525.0
75,nm0000412,7,0,1,3,1,6,0,14,0,24,1,0,1,1,0,0,5,8,0,0,13,0,0,27,2004.0,36037.0,10020.0
76,nm0000416,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1983.0,127180.0,184589.0
77,nm0000419,0,0,0,0,0,2,0,1,9,7,0,0,1,0,1,0,0,0,0,0,0,0,0,14,1986.0,7615.0,9026.0
78,nm0000420,4,0,0,2,0,8,0,3,0,11,1,1,1,0,0,0,2,4,1,0,6,0,0,18,2004.0,47278.0,1738.0
79,nm0000437,19,0,1,12,5,25,0,20,0,35,1,0,3,5,2,1,7,7,6,5,16,0,3,55,2009.0,156124.0,4896.0
80,nm0000438,11,0,1,5,7,7,0,12,0,41,2,1,5,7,2,2,9,13,3,0,17,0,3,47,2001.0,132861.0,48102.0
81,nm0000450,2,0,1,2,4,13,0,7,0,25,0,0,0,2,0,2,1,4,1,1,5,0,0,28,2006.0,152778.0,8933.0
82,nm0000454,10,0,1,5,1,7,0,15,0,29,2,0,0,0,5,0,6,9,2,1,16,0,1,35,1990.0,47674.0,26398.0
83,nm0000473,1,0,0,0,1,30,0,5,0,30,3,1,1,1,0,0,1,25,1,1,3,0,0,41,1995.0,132156.0,3302.0
84,nm0000474,14,0,1,8,3,17,0,13,0,25,5,11,0,3,2,0,4,6,6,1,13,0,0,44,2003.0,149304.0,13972.0
85,nm0000484,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1973.0,2084.0,75613.0
